Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2017",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
ALABAMA,Abbeville,12,0,2,0,10,66,13,47,6,
,Adamsville,25,1,1,6,17,261,42,204,15,
,Alabaster,74,0,0,5,69,527,44,462,21,
,Albertville,22,0,7,7,8,648,145,413,90,
,Alexander City,255,3,7,15,230,551,107,398,46,
,Aliceville,9,0,0,0,9,16,4,11,1,
,Andalusia,83,0,5,8,70,468,62,385,21,
,Anniston,754,14,47,71,622,"1,352",542,700,110,
,Arab,46,0,6,3,37,521,79,406,36,
,Ashford,7,0,0,0,7,15,2,13,0,
,Ashland,53,0,1,1,51,56,11,42,3,
,Athens,13,1,0,12,0,695,86,597,12,
,Atmore,111,2,2,19,88,431,102,314,15,
,Auburn,217,4,17,30,166,"1,711",156,"1,454",101,
,Bay Minette,82,1,4,3,74,339,69,250,20,
,Bayou La Batre,39,0,4,2,33,255,64,164,27,
,Bessemer,787,10,25,117,635,"2,581",495,"1,867",219,
,Boaz,77,0,3,2,72,333,53,241,39,
,Brent,20,0,3,1,16,163,29,124,10,
,Brewton,38,0,5,2,31,165,20,135,10,
,Brookwood,10,0,3,0,7,89,26,54,9,
,Butler,8,0,2,1,5,30,7,18,5,
,Camp Hill,5,1,1,0,3,27,11,15,1,
,Carrollton,1,0,0,0,1,20,5,15,0,
,Centre,25,0,2,2,21,191,17,165,9,
,Chatom,9,0,2,1,6,27,8,17,2,
,Chickasaw,45,0,4,6,35,289,94,174,21,
,Childersburg,78,1,4,2,71,185,29,143,13,
,Citronelle,14,0,2,0,12,46,11,31,4,
,Clayton,4,0,0,1,3,23,7,15,1,
,Coaling,11,1,3,0,7,55,17,33,5,
,Columbiana,64,0,0,2,62,106,28,75,3,
,Cordova,3,0,1,0,2,24,6,12,6,
,Crossville,2,0,0,0,2,20,2,16,2,
,Cullman,22,1,8,1,12,614,70,505,39,
,Dadeville,21,1,1,4,15,119,22,95,2,
,Daleville,13,0,1,0,12,147,20,117,10,
,Daphne,34,0,1,9,24,556,74,464,18,
,Dauphin Island,1,0,0,0,1,62,8,50,4,
,Decatur,199,9,20,53,117,"2,284",431,"1,680",173,
,Demopolis,40,2,0,6,32,146,28,110,8,
,Dora,8,0,3,1,4,110,12,89,9,
,Dothan,582,6,36,68,472,"2,735",626,"1,909",200,
,Double Springs,1,0,0,0,1,20,5,15,0,
,Douglas,10,0,1,0,9,65,21,39,5,
,East Brewton,18,0,1,0,17,62,11,46,5,
,Eclectic,7,0,0,0,7,38,8,30,0,
,Elba,8,0,1,2,5,114,51,61,2,
,Enterprise,105,1,10,11,83,767,141,578,48,
,Eufaula,74,0,5,19,50,502,100,380,22,
,Eutaw,29,1,1,6,21,58,17,36,5,
,Evergreen,53,1,5,6,41,189,53,124,12,
,Fairfield,205,8,8,74,115,738,193,445,100,
,Fairhope,52,0,6,4,42,606,89,490,27,
,Falkville,10,0,0,0,10,45,12,25,8,
,Fayette,15,0,6,1,8,88,5,78,5,
,Flomaton,12,2,1,0,9,48,15,29,4,
,Florence,189,1,30,40,118,"1,703",319,"1,239",145,
,Foley,47,0,4,9,34,782,65,693,24,
,Fultondale,48,0,3,7,38,381,40,315,26,
,Fyffe,2,0,0,0,2,34,4,27,3,
,Gadsden,613,3,23,63,524,"2,641",497,"1,914",230,
,Geneva,24,0,3,4,17,174,32,129,13,
,Georgiana,6,0,0,1,5,22,3,17,2,
,Geraldine,1,0,0,0,1,13,2,8,3,
,Glencoe,8,0,2,1,5,108,27,74,7,
,Grant,7,0,1,1,5,32,5,24,3,
,Greenville,78,1,0,7,70,363,44,307,12,
,Guin,6,0,0,2,4,48,10,33,5,
,Gulf Shores,40,1,8,1,30,578,76,474,28,
,Hackleburg,1,0,1,0,0,22,5,15,2,
,Haleyville,23,0,6,0,17,186,44,133,9,
,Hamilton,27,0,2,3,22,220,48,155,17,
,Hanceville,9,0,4,0,5,92,13,68,11,
,Harpersville,13,0,3,0,10,37,8,24,5,
,Hartford,23,0,1,2,20,79,10,66,3,
,Hartselle,22,0,1,1,20,311,35,260,16,
,Headland,3,0,1,1,1,78,11,61,6,
,Helena,16,0,2,0,14,93,6,79,8,
,Hokes Bluff,4,1,0,0,3,53,15,31,7,
,Hoover,82,2,17,33,30,978,213,701,64,2
,Hueytown,89,2,8,11,68,557,78,453,26,
,Huntsville,"1,766",22,172,360,"1,212","9,232","1,428","6,758","1,046",
,Irondale,54,2,1,4,47,394,89,261,44,
,Jackson,33,0,5,2,26,198,43,147,8,
,Jacksonville,113,2,10,12,89,489,137,325,27,
,Jasper,106,1,7,27,71,919,149,714,56,
,Kimberly,7,0,1,1,5,17,5,9,3,
,Kinston,2,0,0,1,1,26,6,17,3,
,Lanett,88,2,13,17,56,472,105,322,45,
,Leeds,83,0,4,12,67,429,59,339,31,
,Leesburg,4,0,1,0,3,46,18,21,7,
,Leighton,4,0,1,0,3,36,16,17,3,
,Level Plains,12,0,0,0,12,67,23,39,5,
,Linden,5,0,0,0,5,25,5,17,3,
