Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,, ,,,,,,,,
"by State by City, 2011",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
ALABAMA2,Abbeville,13,0,1,2,10,65,12,51,2,1
,Adamsville,37,2,2,7,26,300,61,226,13,2
,Addison,1,0,0,0,1,28,9,15,4,1
,Alabaster,59,2,1,10,46,656,86,541,29,1
,Albertville,43,0,7,5,31,917,247,616,54,0
,Alexander City,138,0,12,11,115,768,206,527,35,0
,Andalusia,31,1,1,4,25,490,90,379,21,0
,Anniston,411,11,21,85,294,"2,323",996,"1,227",100,14
,Arab,63,1,3,6,53,676,165,460,51,13
,Ardmore,3,0,0,0,3,30,8,21,1,0
,Argo,8,0,1,0,7,43,18,21,4,0
,Arley,1,0,0,0,1,19,3,15,1,0
,Ashford,9,0,0,0,9,82,30,50,2,1
,Ashland,13,0,2,0,11,42,8,31,3,0
,Ashville,6,2,0,0,4,35,5,29,1,1
,Athens,38,1,4,18,15,771,144,601,26,0
,Atmore,57,2,3,12,40,386,112,260,14,0
,Auburn,152,0,12,48,92,"2,143",550,"1,520",73,1
,Bay Minette,34,0,4,13,17,325,55,255,15,2
,Bayou La Batre,30,1,1,3,25,208,75,108,25,1
,Bessemer,464,10,23,126,305,"3,274",981,"2,011",282,16
,Birmingham,"3,163",54,182,"1,011","1,916","17,841","5,806","10,522","1,513",123
,Blountsville,14,0,0,1,13,78,26,49,3,0
,Boaz,12,0,2,0,10,453,92,345,16,0
,Brent,22,0,1,2,19,120,33,77,10,1
,Brewton,90,0,5,1,84,276,52,215,9,1
,Brighton,0,0,0,0,0,1,0,0,1,4
,Brilliant,2,0,0,0,2,17,7,9,1,1
,Brookside,4,0,0,0,4,23,11,12,0,0
,Brundidge,4,0,1,1,2,22,2,19,1,0
,Butler,4,0,0,1,3,45,20,24,1,1
,Camp Hill,0,0,0,0,0,5,0,3,2,0
,Carbon Hill,7,0,0,0,7,76,16,46,14,0
,Carrollton,4,0,0,0,4,28,8,18,2,1
,Cedar Bluff,26,1,0,2,23,254,89,150,15,0
,Centre,17,0,1,3,13,190,40,140,10,3
,Centreville,1,0,0,0,1,32,10,21,1,1
,Chatom,9,0,0,0,9,24,7,17,0,0
,Chickasaw,31,0,2,6,23,340,91,225,24,2
,Citronelle,22,1,1,3,17,192,67,112,13,2
,Clanton,55,0,2,7,46,600,124,454,22,1
,Clayhatchee,0,0,0,0,0,2,0,2,0,0
,Collinsville,8,0,2,2,4,70,17,46,7,0
,Columbiana,11,0,1,0,10,139,35,95,9,0
,Coosada,1,0,0,0,1,33,8,24,1,0
,Cordova,10,0,0,1,9,142,33,98,11,2
,Cottonwood,2,0,0,0,2,18,6,12,0,0
,Creola,11,1,0,0,10,112,13,93,6,0
,Cullman,28,0,11,8,9,777,117,620,40,1
,Dadeville,33,0,1,2,30,129,39,85,5,1
,Daleville,37,0,4,2,31,170,56,105,9,0
,Daphne,36,1,0,12,23,523,116,389,18,0
,Dauphin Island,3,0,0,0,3,50,9,39,2,0
,Decatur,197,3,19,56,119,"2,109",815,"1,131",163,13
,Demopolis,51,0,5,8,38,365,68,284,13,0
,Dora,16,0,1,2,13,94,30,59,5,0
